NOME;ENTITY;ELEVATION;TIPO;DESC_;TIPO2;DESC2;GEOCODIGO;NOME;UF;ID_UF;REGIAO;MESOREGIAO;MICROREGIA;LATITUDE;LONGITUDE;SEDE;Geocod;Cen_X;Cen_Y;AreaHa
Jaguarão;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;4311007;Jaguarão;RS;43;Sul;SUDESTE RIO-GRANDENSE;JAGUARAO;-32,566;-53,3759999999999;True;4311007;-53,3350296655;-32,4100231995999;45,4873717651
 ;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;4300001; ; ; ; ; ; ;0;0;True;4300001;-52,9698227437;-32,7505825308;6971,92123813
Colniza;Complex Shape;0;AR1;Afloramentos de Rochas;AR1;AR + RL Distrófico;5103254;Colniza;MT;51;Centro-Oeste;NORTE MATO-GROSSENSE;ARIPUANA;-9,456;-59,2289999999999;True;5103254;-60,3050414555;-9,29192935565;26953,4528462999
Corumbá;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;5003207;Corumbá;MS;50;Centro-Oeste;PANTANAL SUL MATO-GROSSENSE;BAIXO PANTANAL;-19,009;-57,6529999999999;True;5003207;-56,7232617875;-18,7308283059;6,09462665525
Corumbá;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;5003207;Corumbá;MS;50;Centro-Oeste;PANTANAL SUL MATO-GROSSENSE;BAIXO PANTANAL;-19,009;-57,6529999999999;True;5003207;-56,7232617875;-18,7308283059;1460,06671766
Colniza;Complex Shape;0;AR1;Afloramentos de Rochas;AR1;AR + RL Distrófico;5103254;Colniza;MT;51;Centro-Oeste;NORTE MATO-GROSSENSE;ARIPUANA;-9,456;-59,2289999999999;True;5103254;-60,3050414555;-9,29192935565;11977,4064734999
Fonte Boa;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;1301605;Fonte Boa;AM;13;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-2,514;-66,0919999999999;True;1301605;-66,3578142651;-2,49187111338;24848,8677429
Tapauá;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;1304104;Tapauá;AM;13;Norte;SUL AMAZONENSE;PURUS;-5,628;-63,183;True;1304104;-64,8935176932999;-6,10419695368;654,020909767
Coari;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;1301209;Coari;AM;13;Norte;CENTRO AMAZONENSE;COARI;-4,085;-63,1409999999999;True;1301209;-64,1243103805999;-4,43690463162;27671,7170081
Tapauá;Complex Shape;0;Massa d´Água;Massa d´Água;Massa d´Água;Massa d´Água;1304104;Tapauá;AM;13;Norte;SUL AMAZONENSE;PURUS;-5,628;-63,183;True;1304104;-64,8935176932999;-6,10419695368;4507,79268336
